Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,AMQ-4604,12654918,Update QPID Client version to 0.22,tabish,kearls,Minor,Resolved,Fixed,26/Jun/13 12:05,01/Jul/13 15:20,
Bug,AMQ-4603,12654917,Errors while creating directory tmp_storage,,xbhanu,Major,Closed,Cannot Reproduce,26/Jun/13 12:02,06/Sep/13 17:13,
Bug,AMQ-4602,12654887,activemq-ra missing dependency commons-pool,,mashlah,Major,Resolved,Fixed,26/Jun/13 07:56,30/Aug/13 14:31,
Bug,AMQ-4601,12654790,Redelivery counter does not behave properly when closing consumer,,genjosanzo,Major,Resolved,Cannot Reproduce,25/Jun/13 19:22,06/Nov/13 16:23,
Bug,AMQ-4600,12654752,NoSuchAlgorithmException received trying to use ssl with amqp/qpid client,,kearls,Major,Closed,Cannot Reproduce,25/Jun/13 15:34,19/Jul/13 13:10,
Bug,AMQ-4599,12654748,Only package the pure java LevelDB driver by default,chirino,chirino,Major,Resolved,Fixed,25/Jun/13 15:08,25/Jun/13 15:29,
Bug,AMQ-4598,12654707,Negative JMX QueueSize attribute in due to purging a queue,dejanb,dejanb,Major,Resolved,Fixed,25/Jun/13 11:43,03/Nov/16 22:09,
Bug,AMQ-4597,12654502,IOException on message broker startup when using durable subscription and amqPersistenceAdapter,,manfredkoch77,Major,Closed,Won't Fix,24/Jun/13 13:39,02/Jul/13 15:28,
Bug,AMQ-4596,12654475,AMQP: JMSSecurityExceptions are not propagated back to QPID client on authentication failures,tabish,kearls,Major,Resolved,Fixed,24/Jun/13 11:47,04/Sep/13 14:27,
Bug,AMQ-4595,12654150,QueueBrowser hangs when browsing large queues,tabish,ravv,Critical,Resolved,Fixed,21/Jun/13 13:53,01/Sep/14 16:17,
Bug,AMQ-4592,12653950,MySQL 5.1.25 change driver name,dejanb,dejanb,Major,Resolved,Fixed,20/Jun/13 15:15,20/Jun/13 15:19,
